Time [s],Channel 0
0.000000000,0
1.242786276,1
1.242786358,0
1.242786436,1
1.242786516,0
1.242786556,1
1.242786596,0
1.242786636,1
1.242786676,0
1.242786756,1
1.242786836,0
1.242786916,1
1.242786956,0
1.242786996,1
1.242787036,0
1.242787076,1
1.242787156,0
1.242787236,1
1.242787276,0
1.242787316,1
1.242787396,0
1.242787476,1
1.242787558,0
1.242787636,1
1.242787676,0
1.242787716,1
1.242787796,0
1.242787876,1
1.242787916,0
1.242787956,1
1.242787996,0
1.242788036,1
1.242788076,0
1.242788116,1
1.242788156,0
1.242788196,1
1.242788276,0
1.242788316,1
1.242788356,0
1.242788396,1
1.242788436,0
1.242788516,1
1.242788596,0
1.242788636,1
1.242788676,0
1.242788716,1
1.242788756,0
1.242788796,1
1.242788836,0
1.242788876,1
1.242788916,0
1.242788956,1
1.242788996,0
1.242789076,1
1.242789116,0
1.242789156,1
1.242789196,0
1.242789236,1
1.242789276,0
1.242789316,1
1.242789396,0
1.242789436,1
1.242789476,0
1.242789516,1
1.242789556,0
1.242789636,1
1.242789676,0
1.242789716,1
1.242789756,0
1.242789796,1
1.242789836,0
1.242789876,1
1.242789916,0
1.242789956,1
1.242789996,0
1.242790036,1
1.242790116,0
1.242790196,1
1.242790236,0
1.242790276,1
1.242790316,0
1.242790356,1
1.242790396,0
1.242790436,1
1.242790476,0
1.242790516,1
1.242790556,0
1.242790596,1
1.242790676,0
1.242790716,1
1.242790756,0
1.242790796,1
1.242790836,0
1.242790916,1
1.242790956,0
1.242790996,1
1.242791036,0
1.242791076,1
1.242791116,0
1.242791156,1
1.242791196,0
1.242791236,1
1.242791316,0
1.242791356,1
1.242791396,0
1.242791436,1
1.242791476,0
1.242791556,1
1.242791596,0
1.242791636,1
1.242791716,0
1.242791796,1
1.242791836,0
1.242791876,1
1.242791916,0
1.242791956,1
1.242792036,0
1.242792076,1
1.242792116,0
1.242792156,1
1.242792196,0
1.242792236,1
1.242792276,0
1.242792356,1
1.242792396,0
1.242792436,1
1.242792476,0
1.242792516,1
1.242792556,0
1.242792596,1
1.242792636,0
1.242792676,1
1.242792716,0
1.242792756,1
1.242792796,0
1.242792836,1
1.242792876,0
1.242792916,1
1.242792996,0
1.242793036,1
1.242793076,0
1.242793156,1
1.242793196,0
1.242793236,1
1.242793316,0
1.242793356,1
1.242793396,0
1.242793436,1
1.242793476,0
1.242793516,1
1.242793556,0
1.242793636,1
1.242793676,0
1.242793716,1
1.242793756,0
1.242793796,1
1.242793836,0
1.242793876,1
1.242793956,0
1.242794036,1
1.242794076,0
1.242794116,1
1.242794156,0
1.242794196,1
1.242794236,0
1.242794276,1
1.242794316,0
1.242794356,1
1.242794396,0
1.242794436,1
1.242794476,0
1.242794516,1
1.242794596,0
1.242794636,1
1.242794676,0
1.242794716,1
1.242794756,0
1.242794796,1
1.242794836,0
1.242794916,1
1.242794996,0
1.242795036,1
1.242795076,0
1.242795116,1
1.242795156,0
1.242795196,1
1.242795236,0
1.242795276,1
1.242795316,0
1.242795396,1
1.242795436,0
1.242795476,1
1.242795516,0
1.242795556,1
1.242795596,0
1.242795636,1
1.242795716,0
1.242795756,1
1.242795796,0
1.242795876,1
1.242795956,0
1.242795996,1
1.242796036,0
1.242796116,1
1.242796156,0
1.242796196,1
1.242796276,0
1.242796316,1
1.242796356,0
1.242796436,1
1.242796516,0
1.242796556,1
1.242796596,0
1.242796676,1
1.242796716,0
1.242796756,1
1.242796838,0
1.242796916,1
1.242796956,0
1.242796996,1
1.242797078,0
1.242797116,1
1.242797156,0
1.242797196,1
1.242797236,0
1.242797276,1
1.242797316,0
1.242797356,1
1.242797396,0
1.242797476,1
1.242797516,0
1.242797556,1
1.242797596,0
1.242797636,1
1.242797676,0
1.242797716,1
1.242797796,0
1.242797836,1
1.242797876,0
1.242797916,1
1.242797956,0
1.242797996,1
1.242798036,0
1.242798116,1
1.242798156,0
1.242798196,1
1.242798276,0
1.242798316,1
1.242798356,0
1.242798396,1
1.242798436,0
1.242798476,1
1.242798516,0
1.242798596,1
1.242798636,0
1.242798676,1
1.242798756,0
1.242798796,1
1.242798836,0
1.242798916,1
1.242798996,0
1.242799036,1
1.242799076,0
1.242799156,1
1.242799196,0
1.242799236,1
1.242799276,0
1.242799316,1
1.242799356,0
1.242799396,1
1.242799476,0
1.242799556,1
1.242799596,0
1.242799636,1
1.242799716,0
1.242799756,1
1.242799796,0
1.242799876,1
1.242799916,0
1.242799956,1
1.242800036,0
1.242800116,1
1.242800156,0
1.242800196,1
1.242800276,0
1.242800316,1
1.242800356,0
1.242800396,1
1.242800436,0
1.242800476,1
1.242800516,0
1.242800596,1
1.242800636,0
1.242800676,1
1.242800716,0
1.242800756,1
1.242800796,0
1.242800836,1
1.242800916,0
1.242800956,1
1.242800996,0
1.242801076,1
1.242801116,0
1.242801156,1
1.242801196,0
1.242801236,1
1.242801318,0
1.242801356,1
1.242801396,0
1.242801436,1
1.242801476,0
1.242801516,1
1.242801556,0
1.242801596,1
1.242801636,0
1.242801716,1
1.242801798,0
1.242801836,1
1.242801876,0
1.242801956,1
1.242802036,0
1.242802076,1
1.242802116,0
1.242802196,1
1.242802236,0
1.242802276,1
1.242802356,0
1.242802396,1
1.242802436,0
1.242802516,1
1.242802596,0
1.242802636,1
1.242802676,0
1.242802716,1
1.242802756,0
1.242802796,1
1.242802836,0
1.242802916,1
1.242802956,0
1.242802996,1
1.242803076,0
1.242803156,1
1.242803196,0
1.242803236,1
1.242803316,0
1.242803356,1
1.242803396,0
1.242803476,1
1.242803556,0
1.242803596,1
1.242803636,0
1.242803716,1
1.242803796,0
1.242803836,1
1.242803876,0
1.242803956,1
1.242803996,0
1.242804036,1
1.242804076,0
1.242804116,1
1.242804156,0
1.242804196,1
1.242804276,0
1.242804356,1
1.242804396,0
1.242804436,1
1.242804516,0
1.242804556,1
1.242804596,0
1.242804636,1
1.242804676,0
1.242804716,1
1.242804756,0
1.242804796,1
1.242804836,0
1.242804916,1
1.242804998,0
1.242805036,1
1.242805076,0
1.242805156,1
1.242805196,0
1.242805236,1
1.242805276,0
1.242805316,1
1.242805396,0
1.242805436,1
1.242805476,0
1.242805556,1
1.242805596,0
1.242805636,1
1.242805716,0
1.242805756,1
1.242805796,0
1.242805836,1
1.242805876,0
1.242805916,1
1.242805956,0
1.242806036,1
1.242806076,0
1.242806116,1
1.242806156,0
1.242806196,1
1.242806236,0
1.242806276,1
1.242806316,0
1.242806356,1
1.242806396,0
1.242806436,1
1.242806516,0
1.242806596,1
1.242806636,0
1.242806676,1
1.242806716,0
1.242806756,1
1.242806796,0
1.242806836,1
1.242806876,0
1.242806916,1
1.242806956,0
1.242806996,1
1.242807076,0
1.242807156,1
1.242807196,0
1.242807236,1
1.242807276,0
1.242807316,1
1.242807356,0
1.242807396,1
1.242807476,0
1.242807556,1
1.242807596,0
1.242807636,1
1.242807716,0
1.242807796,1
1.242807836,0
1.242807876,1
1.242807916,0
1.242807956,1
1.242807996,0
1.242808036,1
1.242808116,0
1.242808156,1
1.242808196,0
1.242808236,1
1.242808276,0
1.242808356,1
1.242808396,0
1.242808436,1
1.242808516,0
1.242808556,1
1.242808596,0
1.242808676,1
1.242808716,0
1.242808756,1
1.242808796,0
1.242808836,1
1.242808876,0
1.242808916,1
1.242808956,0
1.242808996,1
1.242809076,0
1.242809116,1
1.242809156,0
1.242809196,1
1.242809236,0
1.242809316,1
1.242809356,0
1.242809396,1
1.242809476,0
1.242809516,1
1.242809556,0
1.242809596,1
1.242809636,0
1.242809676,1
1.242809716,0
1.242809756,1
1.242809796,0
1.242809876,1
1.242809916,0
1.242809956,1
1.242809996,0
1.242810036,1
1.242810076,0
1.242810116,1
1.242810196,0
1.242810236,1
1.242810276,0
1.242810316,1
1.242810356,0
1.242810396,1
1.242810436,0
1.242810516,1
1.242810556,0
1.242810594,1
1.242810676,0
1.242810756,1
1.242810796,0
1.242810834,1
1.242810916,0
1.242810996,1
1.242811036,0
1.242811074,1
1.242811116,0
1.242811156,1
1.242811236,0
1.242811276,1
1.242811316,0
1.242811396,1
1.242811436,0
1.242811474,1
1.242811556,0
1.242811596,1
1.242811636,0
1.242811716,1
1.242811796,0
1.242811836,1
1.242811876,0
1.242811956,1
1.242811996,0
1.242812036,1
1.242812076,0
1.242812116,1
